"STG29.ft","depth.ft","area.acres","volume.acft","STG29.m","depth.m","area.m2","volume.m3"
15.7,9.34574820143887,439144.899959324,4104137.6589659,4.78536,2.84857728992622,1777157929.84939,5062371719.58126
15.8,9.43530345408161,439633.66328392,4148077.02171332,4.81584,2.87587366613636,1779135886.59716,5116570044.74294
15.9,9.52600793762976,440064.958778048,4192062.2903924,4.84632,2.90352032709497,1780881279.08053,5170824993.95321
16,9.6172592518162,440467.405650694,4236089.23211761,4.8768,2.93133366163649,1782509925.23157,5225131346.03243
16.1,9.70932786588312,440829.131805144,4280154.57352875,4.90728,2.95939610859024,1783973780.33697,5279485063.35624
16.2,9.80201495589449,441159.715213144,4324254.12645738,4.93776,2.98764706656438,1785311605.10746,5333880979.90265
16.3,9.89529000937313,441461.105880915,4368385.67055024,4.96824,3.01607723537794,1786531290.94524,5388316356.91031
16.4,9.9890875845929,441736.630289664,4412545.88928639,4.99872,3.04466666844014,1787646299.65403,5442787103.51698
16.5,10.0837705694147,441970.745742727,4456731.59846277,5.0292,3.07352597370841,1788593732.11641,5497289292.07186
16.6,10.1790707303718,442175.840514935,4500939.15586313,5.05968,3.1025733938162,1789423721.94627,5551818429.97405
16.7,10.2746684613725,442366.252887343,4545166.58691712,5.09016,3.13171151305797,1790194294.15967,5606372081.63053
16.8,10.3708324075051,442530.684294479,4589411.56199659,5.12064,3.16102221426227,1790859725.04396,5660947373.49156
16.9,10.4670770962543,442690.240686057,4633672.87902035,5.15112,3.1903575257577,1791505427.42278,5715542822.81402
17,10.5634744704999,442841.939699616,4677949.52448354,5.1816,3.21973937568193,1792119332.09279,5770157179.45995
17.1,10.6601507668733,442980.676907103,4722240.80264131,5.21208,3.24920624086894,1792680782.14828,5824789585.242
17.2,10.7573052097113,443098.422871125,4766544.97276641,5.24256,3.2788188447524,1793157283.58024,5879437893.00791
17.3,10.8546584399924,443206.992335272,4810860.52001572,5.27304,3.3084920389047,1793596649.00192,5934100234.22898
17.4,10.9524254057971,443297.782330911,4855185.89353456,5.30352,3.33829133934521,1793964063.40367,5988774695.95701
17.5,11.0505658785784,443372.742864265,4899519.70378756,5.334,3.36820448444198,1794267418.18768,6043459564.22788
17.6,11.1488965926811,443439.444547732,4943860.5123786,5.36448,3.39817561495586,1794537350.56243,6098153064.80875
17.7,11.2474573707286,443496.453553206,4988207.45540899,5.39496,3.42821686879366,1794768058.02633,6152854132.09789
17.8,11.3461794424349,443546.637536898,5032559.74058228,5.42544,3.45830728482196,1794971145.58257,6207561788.81343
17.9,11.445026170232,443591.545033161,5076916.84179819,5.45592,3.48843569593655,1795152879.9329,6262275386.02123
18,11.5439238367054,443634.101051332,5121278.27390182,5.4864,3.5185796331228,1795325098.18059,6316994325.29242
18.1,11.6429724556128,443670.520285211,5165643.6470481,5.51688,3.54876958050173,1795472481.72141,6371718125.76089
18.2,11.7420491448653,443705.563044109,5210012.52711407,5.54736,3.57896808370156,1795614294.86068,6426446251.94466
18.3,11.8411653940005,443738.827856156,5254384.85238468,5.57784,3.609178644725,1795748912.89796,6481178627.71946
18.4,11.9403127719774,443770.658840098,5298760.46557726,5.60832,3.63939869379685,1795877728.43364,6535915059.08024
18.5,12.0394840544391,443801.342761555,5343139.18951642,5.6388,3.66962602893839,1796001901.96803,6590655327.48472
18.6,12.1387437452532,443828.528142435,5387520.76995391,5.66928,3.69988031088175,1796111917.39849,6645399119.32275
18.7,12.237953233221,443857.319410793,5431905.11717211,5.69976,3.73011929103389,1796228431.63076,6700146323.92945
18.8,12.3372231523475,443883.701847934,5476292.28338802,5.73024,3.76037669055948,1796335197.66033,6754897005.71346
18.9,12.4364313164699,443912.091644422,5520682.23828635,5.76072,3.79061526720452,1796450087.19215,6809651127.28145
19,12.535704051614,443937.957903445,5565074.85755547,5.7912,3.82087352505025,1796554764.32114,6864408535.29752
